id,sayText,waitTime,image,nextId
1,今日は、天体について話します。,2,,2
2,この写真をみてください。,2,https://github.com/yozzzo/src/raw/master/moon.jpg,3
3,これは月です。,2,,4
4,月は地球の周りを３０日に１周のペースで回っています。,2,,5
5,では、地球はなんの周りを回っているのでしょうか？,2,,6
6,正解は、、、太陽です。,2,https://github.com/yozzzo/src/raw/master/sun.jpg,7
7,太陽の直径は地球の100倍にもなります。地球と太陽を並べるとこのようになります。,2,https://github.com/yozzzo/src/raw/master/sunAndEarth.jpg,8
8,比べてみるととても大きいですね！,2,,9
9,地球は太陽の周りをこのように回っています。,2,https://github.com/yozzzo/src/raw/master/kouten.gif,10
10,それでは、地球は太陽のまわりを何日で一周するでしょうか？,2,,11
11,正解は、、、３６５日です。,2,,12
12,太陽とその周りを回っている惑星をまとめて太陽系と呼びますが、地球以外に太陽の周りを回っている惑星は、全部で７つあります。,2,,13
13,太陽に近い順から、水星。きんせい。。。次に地球で。火星。木星。土星。天王星。海王星です。,2,https://github.com/yozzzo/src/raw/master/solarSystem.png,14
14,すいきんちかもくどってんかい、と覚えてください。,2,,15
15,この中で一番大きな惑星は、直径の長さが地球の１１倍もある、木星です。,2,https://github.com/yozzzo/src/raw/master/Jupiter.jpg,16
16,この木星にも地球の周りを回る月のように、衛星がありますが、何個あるでしょう？,2,,17
17,正解は、、、現在で６３個見つかっています。,2,,18
18,もし木星がなかったら、地球にどんな影響があったでしょうか？。。。想像してみてください。,2,,19
19,もし木星がなかったら、今よりも1000倍もの小天体が地球に降り注ぎ、仮に生命は生まれても、人間まで進化することはできなかったかもしれないと言われています。,2,,20
20,巨大惑星である、木星や、土星が、地球を守ってくれていたのでした。,2,,21
21,これで授業を終わります。,2,,
